No ,Nama Video ,link Video ,
68,Tipe Hewan Kurban,https://www.youtube.com/watch?v=X3z00TIceZM,
69,Hewan Kurban,https://www.youtube.com/watch?v=VtSkOgwPnAI,
70,Kelompok Penerima Kurban,https://www.youtube.com/watch?v=QJEJ9vp7qmc,
71,Penanggung Jawab Distribusi,https://www.youtube.com/watch?v=DTh3e_TMYoE,
72,Pendaftaran Tabungan Kurban,https://www.youtube.com/watch?v=emay0Y7f5tw,
73,Pembayaran Tabungan Kurban,https://www.youtube.com/watch?v=ZbLEpn6lOzU,
74,Pengembalian Tabungan Kurban,https://www.youtube.com/watch?v=cREu14p3UqM ,
75,Pesan Hewan Kurban,https://www.youtube.com/watch?v=62FQphMD-T0,
76,Titip Potong Hewan Kurban,https://www.youtube.com/watch?v=1bQPU6AFTKU,
77,Pembayaran Kurban,https://www.youtube.com/watch?v=lTYjQDKsjVM,
78,Mustahik Warga,https://www.youtube.com/watch?v=sHLjmNsfqq0,
79,Kalkulasi Distribusi Daging Kurban,https://www.youtube.com/watch?v=ZRgHNqZoXRE,
,,,
,Administrative Tools,,
80,Role,,
81,User,https://www.youtube.com/watch?v=Fj6L_iXpeYs,
82,Warga Menjadi User Aplikasi,,
83,Audit Trail,https://www.youtube.com/watch?v=w8vKdMumkko,
84,2 Factor Authentication,https://www.youtube.com/watch?v=Oi7w_iZYaKs,
,,,
No,Description,Link Video,
1,Alamat youtube Maslam,https://www.youtube.com/@Maslam-Apps,
2,Video Wajib Pengguna Maslam,https://www.youtube.com/playlist?list=PLdudxE8SAALpus5M4bE16bkudk3Pc6GxN,
3,Training Keuangan DKM Masjid,https://www.youtube.com/playlist?list=PLdudxE8SAALpN7wZsOice1lzynrrWhFTC,
4,Training Aplikasi Maslam,https://www.youtube.com/playlist?list=PLdudxE8SAALoPmZphBL_veDLYTMf79rlI,
5,Idul Adha,https://www.youtube.com/playlist?list=PLdudxE8SAALpRnE9-6yUtd6Cc9JOI5avq,
