file,line_count,method_count
"Grafindo Solution/Grafindo.Project/__Browse References/FAccountCashFlowSearch.vb",137,10
"Grafindo Solution/Grafindo.Project/__Browse References/FAccountSearch.Designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FAccountSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FAccountSearch.vb",660,10
"Grafindo Solution/Grafindo.Project/__Browse References/FBGSearch.designer.vb",89,3
"Grafindo Solution/Grafindo.Project/__Browse References/FBGSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FBGSearch.vb",105,9
"Grafindo Solution/Grafindo.Project/__Browse References/FBranchSearch.Designer.vb",122,3
"Grafindo Solution/Grafindo.Project/__Browse References/FBranchSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FBranchSearch.vb",89,10
"Grafindo Solution/Grafindo.Project/__Browse References/FCashInBranchSearch.designer.vb",160,3
"Grafindo Solution/Grafindo.Project/__Browse References/FCashInBranchSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FCashInBranchSearch.vb",124,10
"Grafindo Solution/Grafindo.Project/__Browse References/FCashInSearch.designer.vb",157,3
"Grafindo Solution/Grafindo.Project/__Browse References/FCashInSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FCashInSearch.vb",85,10
"Grafindo Solution/Grafindo.Project/__Browse References/FContractSearch.designer.vb",126,3
"Grafindo Solution/Grafindo.Project/__Browse References/FContractSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FContractSearch.vb",89,10
"Grafindo Solution/Grafindo.Project/__Browse References/FCostCenterSearch.Designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FCostCenterSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FCostCenterSearch.vb",114,10
"Grafindo Solution/Grafindo.Project/__Browse References/FDRCRMemoSearch.Designer.vb",156,3
"Grafindo Solution/Grafindo.Project/__Browse References/FDRCRMemoSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FDRCRMemoSearch.vb",586,10
"Grafindo Solution/Grafindo.Project/__Browse References/FDVSearch.designer.vb",157,3
"Grafindo Solution/Grafindo.Project/__Browse References/FDVSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FDVSearch.vb",182,11
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbRequestDetailSearch.designer.vb",88,3
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbRequestDetailSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbRequestDetailSearch.vb",93,10
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbursementRealizationSearch.designer.vb",154,3
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbursementRealizationSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbursementRealizationSearch.vb",263,11
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbursementRequestSearch.designer.vb",186,3
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbursementRequestSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FDisbursementRequestSearch.vb",553,11
"Grafindo Solution/Grafindo.Project/__Browse References/FEmpSearch.Designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FEmpSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FEmpSearch.vb",103,10
"Grafindo Solution/Grafindo.Project/__Browse References/FEntitySearch.Designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FEntitySearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FEntitySearch.vb",94,10
"Grafindo Solution/Grafindo.Project/__Browse References/FInstitutionSearch.Designer.vb",132,3
"Grafindo Solution/Grafindo.Project/__Browse References/FInstitutionSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FInstitutionSearch.vb",75,10
"Grafindo Solution/Grafindo.Project/__Browse References/FInventoryRequestSearch.Designer.vb",156,3
"Grafindo Solution/Grafindo.Project/__Browse References/FInventoryRequestSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FInventoryRequestSearch.vb",769,11
"Grafindo Solution/Grafindo.Project/__Browse References/FLoanAccountNumberSearch.designer.vb",126,3
"Grafindo Solution/Grafindo.Project/__Browse References/FLoanAccountNumberSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FLoanAccountNumberSearch.vb",149,10
"Grafindo Solution/Grafindo.Project/__Browse References/FLoanFundSearch.designer.vb",165,3
"Grafindo Solution/Grafindo.Project/__Browse References/FLoanFundSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FLoanFundSearch.vb",121,10
"Grafindo Solution/Grafindo.Project/__Browse References/FLocationSearch.Designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FLocationSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FLocationSearch.vb",693,10
"Grafindo Solution/Grafindo.Project/__Browse References/FLotSerialSearch.designer.vb",137,3
"Grafindo Solution/Grafindo.Project/__Browse References/FLotSerialSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FLotSerialSearch.vb",190,10
"Grafindo Solution/Grafindo.Project/__Browse References/FMemoSearch.designer.vb",131,3
"Grafindo Solution/Grafindo.Project/__Browse References/FMemoSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FMemoSearch.vb",86,10
"Grafindo Solution/Grafindo.Project/__Browse References/FOverbookingSearch.designer.vb",160,3
"Grafindo Solution/Grafindo.Project/__Browse References/FOverbookingSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FOverbookingSearch.vb",195,11
"Grafindo Solution/Grafindo.Project/__Browse References/FPOCustomerSearch.designer.vb",154,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPOCustomerSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPOCustomerSearch.vb",565,11
"Grafindo Solution/Grafindo.Project/__Browse References/FPPNTypeSearch.Designer.vb",95,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPPNTypeSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPPNTypeSearch.vb",51,9
"Grafindo Solution/Grafindo.Project/__Browse References/FPRKCodeSearch.designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPRKCodeSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPRKCodeSearch.vb",122,10
"Grafindo Solution/Grafindo.Project/__Browse References/FPackagingGMPSearch.designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPackagingGMPSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPackagingGMPSearch.vb",64,10
"Grafindo Solution/Grafindo.Project/__Browse References/FPackagingSearch.designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPackagingSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPackagingSearch.vb",112,10
"Grafindo Solution/Grafindo.Project/__Browse References/FPartNumberGMPSearch.designer.vb",124,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPartNumberGMPSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPartNumberGMPSearch.vb",241,10
"Grafindo Solution/Grafindo.Project/__Browse References/FPartNumberSearch.Designer.vb",124,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPartNumberSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPartNumberSearch.vb",2465,11
"Grafindo Solution/Grafindo.Project/__Browse References/FPartnerGMPSearch.designer.vb",133,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPartnerGMPSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPartnerGMPSearch.vb",124,11
"Grafindo Solution/Grafindo.Project/__Browse References/FPartnerSearch.Designer.vb",133,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPartnerSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPartnerSearch.vb",457,12
"Grafindo Solution/Grafindo.Project/__Browse References/FPaymentRecapSearch.Designer.vb",260,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPaymentRecapSearch.resx",126,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPaymentRecapSearch.vb",428,11
"Grafindo Solution/Grafindo.Project/__Browse References/FPaymentTypeSearch.Designer.vb",95,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPaymentTypeSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPaymentTypeSearch.vb",61,9
"Grafindo Solution/Grafindo.Project/__Browse References/FPriceListSearch.Designer.vb",155,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPriceListSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPriceListSearch.vb",175,10
"Grafindo Solution/Grafindo.Project/__Browse References/FProjectAccountSearch.Designer.vb",157,3
"Grafindo Solution/Grafindo.Project/__Browse References/FProjectAccountSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FProjectAccountSearch.vb",230,12
"Grafindo Solution/Grafindo.Project/__Browse References/FPurchaseOrderSearch.Designer.vb",156,3
"Grafindo Solution/Grafindo.Project/__Browse References/FPurchaseOrderSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FPurchaseOrderSearch.vb",1035,10
"Grafindo Solution/Grafindo.Project/__Browse References/FReasonCodeSOSearch.Designer.vb",122,3
"Grafindo Solution/Grafindo.Project/__Browse References/FReasonCodeSOSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FReasonCodeSOSearch.vb",96,10
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderRecapSearch.designer.vb",156,3
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderRecapSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderRecapSearch.vb",419,10
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderSearch.Designer.vb",167,3
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderSearch.vb",2284,11
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderShipmentSearch.Designer.vb",156,3
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderShipmentSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesOrderShipmentSearch.vb",320,10
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesPersonGMPSearch.designer.vb",88,3
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesPersonGMPSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FSalesPersonGMPSearch.vb",76,10
"Grafindo Solution/Grafindo.Project/__Browse References/FTaxClassGMPSearch.Designer.vb",131,3
"Grafindo Solution/Grafindo.Project/__Browse References/FTaxClassGMPSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FTaxClassGMPSearch.vb",63,10
"Grafindo Solution/Grafindo.Project/__Browse References/FTaxClassSearch.Designer.vb",131,3
"Grafindo Solution/Grafindo.Project/__Browse References/FTaxClassSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FTaxClassSearch.vb",90,10
"Grafindo Solution/Grafindo.Project/__Browse References/FUMGMPSearch.designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FUMGMPSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FUMGMPSearch.vb",107,11
"Grafindo Solution/Grafindo.Project/__Browse References/FUMSearch.Designer.vb",123,3
"Grafindo Solution/Grafindo.Project/__Browse References/FUMSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FUMSearch.vb",221,11
"Grafindo Solution/Grafindo.Project/__Browse References/FUserApprovalSearch.Designer.vb",87,3
"Grafindo Solution/Grafindo.Project/__Browse References/FUserApprovalSearch.resx",123,0
"Grafindo Solution/Grafindo.Project/__Browse References/FUserApprovalSearch.vb",56,9
"Grafindo Solution/Grafindo.Project/__Browse References/FVoucherSearch.Designer.vb",289,3
"Grafindo Solution/Grafindo.Project/__Browse References/FVoucherSearch.resx",126,0
"Grafindo Solution/Grafindo.Project/__Browse References/FVoucherSearch.vb",512,15
"Grafindo Solution/Grafindo.Project/__General Form/CustomDesignForm.resx",640,0
"Grafindo Solution/Grafindo.Project/__General Form/CustomDesignForm.vb",1189,5
"Grafindo Solution/Grafindo.Project/__General Form/FCodeMstr.Designer.vb",601,3
"Grafindo Solution/Grafindo.Project/__General Form/FCodeMstr.resx",126,0
"Grafindo Solution/Grafindo.Project/__General Form/FCodeMstr.vb",359,13
"Grafindo Solution/Grafindo.Project/__General Form/frmExport.Designer.vb",62,3
"Grafindo Solution/Grafindo.Project/__General Form/frmExport.resx",120,0
"Grafindo Solution/Grafindo.Project/__General Form/frmExport.vb",3,0
"Grafindo Solution/Grafindo.Project/__General Form/frmPrintDialog.Designer.vb",171,3
"Grafindo Solution/Grafindo.Project/__General Form/frmPrintDialog.resx",440,0
"Grafindo Solution/Grafindo.Project/__General Form/frmPrintDialog.vb",194,12
"Grafindo Solution/Grafindo.Project/__General Form/frmPrintDialogReport.Designer.vb",1407,3
"Grafindo Solution/Grafindo.Project/__General Form/frmPrintDialogReport.resx",446,0
"Grafindo Solution/Grafindo.Project/__General Form/frmPrintDialogReport.vb",48,6
"Grafindo Solution/Grafindo.Project/app.config",53,0
